ID,cb_person_cred_hist_length,credit_score,loan_int_rate,loan_percent_income,person_emp_exp,person_gender,person_income,loan_status,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT
0,3,680,11.01,0.47,0,0,53294,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,3,668,10.99,0.17,6,1,57430,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2,3,536,6.99,0.06,3,0,108913,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
3,3,690,11.11,0.08,2,0,150996,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
4,13,662,7.58,0.07,14,0,121270,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5,3,658,13.47,0.04,3,1,73057,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
6,6,515,13.48,0.1,12,0,31040,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
7,4,654,11.14,0.19,3,0,25112,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
8,9,676,7.49,0.02,13,1,270926,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
9,3,642,11.01,0.19,1,0,35609,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10,2,587,14.72,0.2,0,1,48471,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
11,5,684,10.64,0.25,4,0,57073,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
12,8,610,7.79,0.11,14,1,36810,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
13,2,581,5.42,0.15,0,0,43804,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
14,4,633,12.14,0.18,2,1,54922,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,4,640,16.69,0.27,4,1,67912,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
16,12,648,12.18,0.22,14,0,28708,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
17,3,601,7.9,0.18,0,1,27161,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
18,2,548,6.54,0.15,4,1,157224,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
19,2,572,13.85,0.29,0,0,59775,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
20,7,653,6.99,0.04,3,1,240825,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
21,2,620,11.01,0.31,0,1,39261,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
22,3,643,7.26,0.18,1,0,51257,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
23,5,581,13.16,0.14,4,1,35736,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
24,6,637,7.88,0.13,9,1,52469,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
25,3,561,11.71,0.15,2,1,77718,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
26,2,622,8,0.06,0,0,59425,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
27,15,674,14.55,0.18,14,1,111511,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
28,3,608,11.49,0.05,0,0,91169,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,3,603,14.65,0.22,0,0,61054,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,3,629,12.53,0.15,4,1,96785,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
31,10,628,13.49,0.33,5,1,60627,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
32,4,649,5.79,0.09,2,1,72977,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
33,12,654,6.99,0.05,18,0,93394,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
34,2,664,7.29,0.12,0,1,51371,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
35,4,571,9.76,0.15,4,0,35682,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,13,702,6.92,0.04,12,1,180854,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
37,9,559,11.01,0.12,7,0,61027,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
38,16,615,9.91,0.14,11,0,78922,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
39,2,709,11.01,0.03,0,0,66843,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
40,3,537,12.99,0.1,2,1,49300,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41,3,570,11.01,0.18,4,1,117297,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
42,3,657,9.91,0.15,0,1,16648,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
43,8,574,11.99,0.05,4,0,77693,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
44,4,657,6.17,0.12,1,0,121228,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,10,650,6.76,0.05,12,0,65174,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
46,3,693,10.59,0.11,1,1,61040,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
47,2,735,12.61,0.09,2,1,126814,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
48,6,716,11.01,0.02,11,0,22852,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,5,557,8.32,0.11,7,0,61104,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
50,3,629,9.99,0.05,3,0,49052,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
51,16,674,10.67,0.06,12,1,181304,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
52,8,467,7.51,0.1,9,0,73017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
53,4,645,11.71,0.12,2,0,96531,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
54,12,676,13.06,0.03,19,1,43009,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,4,656,8.49,0.15,0,1,45770,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
56,3,616,14.27,0.04,3,1,209997,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
57,2,667,11.83,0.23,1,1,87261,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
58,5,519,12.86,0.26,6,0,76634,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
59,2,661,10.99,0.24,1,1,34728,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
60,4,660,10.99,0.24,1,1,83759,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
61,4,674,15.23,0.09,5,0,68379,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
62,3,675,12.69,0.15,5,0,60739,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
63,2,631,12.61,0.03,0,0,72804,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
64,6,681,7.14,0.05,6,0,54403,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
65,9,664,9.62,0.17,10,1,118644,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
66,3,658,12.68,0.14,0,0,83790,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
67,12,601,5.99,0.16,13,1,25130,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
68,3,553,9.63,0.12,3,1,84868,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
69,6,660,11.55,0.15,5,0,64595,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
70,15,558,7.9,0.19,22,1,90990,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
71,16,677,11.01,0.08,16,0,149643,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
72,11,678,14.15,0.21,12,0,38222,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
73,3,637,11.49,0.13,2,1,90920,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
74,4,697,12.61,0.1,2,1,75208,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
75,4,625,8.69,0.1,1,0,48864,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
76,3,547,9.61,0.12,1,1,50398,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
77,13,712,12.99,0.08,14,0,75598,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
78,4,619,10.75,0.21,1,1,121158,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
79,6,662,8.5,0.03,7,0,66041,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
80,10,692,10.47,0.15,11,0,66882,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
81,3,720,13.11,0.18,3,0,56308,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
82,13,631,14.84,0.19,29,1,51334,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
83,4,656,10.39,0.19,0,0,21092,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
84,9,593,14.74,0.14,12,1,91359,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
85,4,671,13.43,0.11,2,1,70440,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
86,2,587,11.83,0.11,0,0,110349,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
87,4,631,11.49,0.43,1,0,42910,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
88,4,547,13.47,0.05,4,0,58692,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
89,8,714,9.64,0.24,10,1,20949,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
90,2,600,6.76,0.05,0,0,42441,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
91,6,559,9.33,0.22,11,0,44812,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
92,8,623,12.03,0.03,5,0,46512,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
93,2,605,13.49,0.13,0,1,90581,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
94,4,533,14.03,0.1,0,1,156665,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
95,8,555,11.66,0.13,6,0,77797,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
96,8,643,10.62,0.13,11,1,189040,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
97,5,664,5.99,0.16,9,1,61281,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
98,5,622,10.75,0.02,9,0,181080,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
99,14,598,10.39,0.07,17,1,246751,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
100,4,612,6.34,0.04,0,1,103203,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
101,2,648,15.23,0.03,0,1,72999,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
102,4,558,13.79,0.05,1,0,151067,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
103,2,492,7.14,0.07,3,1,91485,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
104,9,604,12.73,0.16,2,1,92289,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
105,4,578,11.49,0.17,3,0,73422,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106,9,685,13.96,0.28,6,1,50413,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
107,2,644,8.49,0.14,2,1,108849,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
108,3,636,7.88,0.19,1,0,78962,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
109,2,678,13.99,0.06,4,1,63649,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
110,9,636,8.62,0.29,9,1,23963,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
111,2,641,14.54,0.22,1,1,106607,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
112,9,564,7.29,0.07,9,1,72818,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
113,6,679,11.71,0.06,10,1,85062,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
114,3,653,15.96,0.21,0,1,72868,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
115,7,615,13.43,0.27,12,1,36953,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
116,9,506,8.69,0.16,0,0,90931,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
117,3,607,7.88,0.1,6,1,150848,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
118,9,638,10.74,0.2,2,0,84750,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
119,5,551,14.72,0.15,7,0,13665,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
120,2,576,6.76,0.1,1,1,30625,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
121,9,685,12.42,0.14,11,0,57292,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
122,3,592,14.61,0.18,3,0,107046,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
