ID,cb_person_cred_hist_length,credit_score,loan_int_rate,loan_intent,loan_percent_income,person_education,person_emp_exp,person_gender,person_home_ownership,person_income,loan_status
0,3,680,11.01,DEBTCONSOLIDATION,0.47,High School,0,female,MORTGAGE,53294,1
1,3,668,10.99,VENTURE,0.17,Associate,6,male,RENT,57430,0
2,3,536,6.99,MEDICAL,0.06,High School,3,female,MORTGAGE,108913,0
3,3,690,11.11,PERSONAL,0.08,Associate,2,female,MORTGAGE,150996,0
4,13,662,7.58,EDUCATION,0.07,Associate,14,female,MORTGAGE,121270,0
5,3,658,13.47,VENTURE,0.04,Bachelor,3,male,RENT,73057,1
6,6,515,13.48,PERSONAL,0.1,High School,12,female,RENT,31040,0
7,4,654,11.14,MEDICAL,0.19,High School,3,female,RENT,25112,0
8,9,676,7.49,VENTURE,0.02,Master,13,male,MORTGAGE,270926,0
9,3,642,11.01,EDUCATION,0.19,High School,1,female,RENT,35609,0
10,2,587,14.72,MEDICAL,0.2,Bachelor,0,male,RENT,48471,0
11,5,684,10.64,VENTURE,0.25,Master,4,female,OWN,57073,0
12,8,610,7.79,VENTURE,0.11,Bachelor,14,male,RENT,36810,0
13,2,581,5.42,EDUCATION,0.15,Bachelor,0,female,OWN,43804,0
14,4,633,12.14,HOMEIMPROVEMENT,0.18,Associate,2,male,RENT,54922,1
15,4,640,16.69,EDUCATION,0.27,High School,4,male,RENT,67912,1
16,12,648,12.18,MEDICAL,0.22,Master,14,female,RENT,28708,0
17,3,601,7.9,PERSONAL,0.18,Associate,0,male,OWN,27161,0
18,2,548,6.54,VENTURE,0.15,High School,4,male,MORTGAGE,157224,0
19,2,572,13.85,MEDICAL,0.29,Master,0,female,RENT,59775,1
20,7,653,6.99,PERSONAL,0.04,Master,3,male,MORTGAGE,240825,0
21,2,620,11.01,MEDICAL,0.31,Associate,0,male,RENT,39261,1
22,3,643,7.26,VENTURE,0.18,Master,1,female,MORTGAGE,51257,0
23,5,581,13.16,PERSONAL,0.14,Master,4,male,RENT,35736,0
24,6,637,7.88,EDUCATION,0.13,Associate,9,male,RENT,52469,0
25,3,561,11.71,EDUCATION,0.15,Associate,2,male,MORTGAGE,77718,0
26,2,622,8,VENTURE,0.06,Master,0,female,RENT,59425,0
27,15,674,14.55,PERSONAL,0.18,High School,14,male,RENT,111511,0
28,3,608,11.49,VENTURE,0.05,High School,0,female,RENT,91169,0
29,3,603,14.65,DEBTCONSOLIDATION,0.22,High School,0,female,MORTGAGE,61054,1
30,3,629,12.53,PERSONAL,0.15,Associate,4,male,MORTGAGE,96785,0
31,10,628,13.49,VENTURE,0.33,High School,5,male,RENT,60627,1
32,4,649,5.79,HOMEIMPROVEMENT,0.09,High School,2,male,MORTGAGE,72977,0
33,12,654,6.99,MEDICAL,0.05,Associate,18,female,MORTGAGE,93394,0
34,2,664,7.29,EDUCATION,0.12,Master,0,male,RENT,51371,0
35,4,571,9.76,DEBTCONSOLIDATION,0.15,Master,4,female,RENT,35682,0
36,13,702,6.92,VENTURE,0.04,Master,12,male,OWN,180854,0
37,9,559,11.01,PERSONAL,0.12,Master,7,female,RENT,61027,0
38,16,615,9.91,PERSONAL,0.14,Associate,11,female,MORTGAGE,78922,0
39,2,709,11.01,PERSONAL,0.03,Master,0,female,MORTGAGE,66843,0
40,3,537,12.99,DEBTCONSOLIDATION,0.1,Master,2,male,RENT,49300,0
41,3,570,11.01,EDUCATION,0.18,Bachelor,4,male,RENT,117297,0
42,3,657,9.91,HOMEIMPROVEMENT,0.15,Associate,0,male,RENT,16648,1
43,8,574,11.99,MEDICAL,0.05,Associate,4,female,MORTGAGE,77693,0
44,4,657,6.17,DEBTCONSOLIDATION,0.12,High School,1,female,MORTGAGE,121228,0
45,10,650,6.76,MEDICAL,0.05,Master,12,female,RENT,65174,0
46,3,693,10.59,PERSONAL,0.11,High School,1,male,MORTGAGE,61040,0
47,2,735,12.61,EDUCATION,0.09,Associate,2,male,RENT,126814,0
48,6,716,11.01,DEBTCONSOLIDATION,0.02,Bachelor,11,female,RENT,22852,0
49,5,557,8.32,EDUCATION,0.11,Master,7,female,RENT,61104,0
50,3,629,9.99,MEDICAL,0.05,High School,3,female,RENT,49052,0
51,16,674,10.67,EDUCATION,0.06,Bachelor,12,male,MORTGAGE,181304,0
52,8,467,7.51,HOMEIMPROVEMENT,0.1,High School,9,female,RENT,73017,0
53,4,645,11.71,EDUCATION,0.12,High School,2,female,RENT,96531,0
54,12,676,13.06,DEBTCONSOLIDATION,0.03,Associate,19,male,MORTGAGE,43009,0
55,4,656,8.49,VENTURE,0.15,Bachelor,0,male,OWN,45770,0
56,3,616,14.27,DEBTCONSOLIDATION,0.04,High School,3,male,MORTGAGE,209997,0
57,2,667,11.83,MEDICAL,0.23,High School,1,male,RENT,87261,0
58,5,519,12.86,MEDICAL,0.26,Master,6,female,RENT,76634,1
59,2,661,10.99,VENTURE,0.24,Associate,1,male,MORTGAGE,34728,0
60,4,660,10.99,DEBTCONSOLIDATION,0.24,High School,1,male,RENT,83759,1
61,4,674,15.23,DEBTCONSOLIDATION,0.09,Associate,5,female,MORTGAGE,68379,0
62,3,675,12.69,DEBTCONSOLIDATION,0.15,Bachelor,5,female,RENT,60739,0
63,2,631,12.61,EDUCATION,0.03,Bachelor,0,female,MORTGAGE,72804,0
64,6,681,7.14,PERSONAL,0.05,Bachelor,6,female,MORTGAGE,54403,1
